Index,File,Are equals,Size in ntsc_1.0,Size in ntsc_1.0_rc,Size proportion,Size difference,Bytes different,Words different
0,makerom,False,4192,4192,1.0,0,8,2
1,boot,False,25552,25552,1.0,0,52,36
2,dmadata,False,24416,24416,1.0,0,7717,3916
3,Audiobank,False,117328,117344,1.0,-16,0,0
4,Audioseq,False,325264,325248,1.0,16,98597,26274
5,Audiotable,True,4590288,4590288,1.0,0,0,0
6,kanji,True,508672,508672,1.0,0,0,0
7,link_animetion,True,2513968,2513968,1.0,0,0,0
8,icon_item_static,True,559264,559264,1.0,0,0,0
9,icon_item_24_static,True,46080,46080,1.0,0,0,0
10,icon_item_field_static,True,47408,47408,1.0,0,0,0
11,icon_item_dungeon_static,True,7552,7552,1.0,0,0,0
12,icon_item_gameover_static,True,13056,13056,1.0,0,0,0
13,icon_item_jpn_static,True,56448,56448,1.0,0,0,0
14,icon_item_nes_static,True,56448,56448,1.0,0,0,0
15,icon_item_ger_static,,,,,,
16,icon_item_fra_static,,,,,,
17,item_name_static,True,251904,251904,1.0,0,0,0
18,map_name_static,True,137216,137216,1.0,0,0,0
19,do_action_static,True,22272,22272,1.0,0,0,0
20,message_static,True,16768,16768,1.0,0,0,0
21,jpn_message_data_static,False,238416,238432,1.0,-16,138760,39277
22,message_texture_static,True,4608,4608,1.0,0,0,0
23,nes_font_static,True,17792,17792,1.0,0,0,0
24,nes_message_data_static,False,229680,229648,1.0,32,195103,51373
25,ger_message_data_static,,,,,,
26,fra_message_data_static,,,,,,
27,staff_message_data_static,False,3936,3968,0.992,-32,1489,387
28,map_grand_static,True,58192,58192,1.0,0,0,0
29,map_i_static,True,975120,975120,1.0,0,0,0
30,map_48x85_static,True,138720,138720,1.0,0,0,0
31,code,False,1064240,1063712,1.0,528,825090,242272
32,n64dd,False,77072,76832,1.003,240,50894,14848
33,ovl_title,False,2496,2496,1.0,0,43,29
34,ovl_select,False,11616,11616,1.0,0,161,94
35,ovl_opening,False,352,352,1.0,0,14,8
36,ovl_file_choose,False,65312,65312,1.0,0,827,442
37,ovl_kaleido_scope,False,117136,117120,1.0,16,29836,10412
38,ovl_player_actor,False,157024,156544,1.003,480,131579,37442
39,ovl_map_mark_data,False,27488,27488,1.0,0,20,10
40,ovl_En_Test,False,22704,22704,1.0,0,766,504
41,ovl_En_GirlA,False,10528,10528,1.0,0,721,393
42,ovl_En_Part,False,5648,5648,1.0,0,183,104
43,ovl_En_Light,False,3568,3568,1.0,0,67,42
44,ovl_En_Door,False,3632,3632,1.0,0,89,57
45,ovl_En_Box,False,6960,6704,1.038,256,5793,1629
46,ovl_En_Poh,False,16784,16752,1.002,32,7030,2155
47,ovl_En_Okuta,False,9696,9696,1.0,0,295,184
48,ovl_En_Bom,False,3792,3792,1.0,0,83,53
49,ovl_En_Wallmas,False,6672,6672,1.0,0,223,147
50,ovl_En_Dodongo,False,11680,11680,1.0,0,415,255
51,ovl_En_Firefly,False,8560,8560,1.0,0,248,169
52,ovl_En_Horse,False,49696,49696,1.0,0,35350,10460
53,ovl_En_Arrow,False,5872,5872,1.0,0,167,103
54,ovl_En_Elf,False,18880,18880,1.0,0,563,333
55,ovl_En_Niw,False,13104,13104,1.0,0,380,230
56,ovl_En_Tite,False,11680,11680,1.0,0,225,169
57,ovl_En_Reeba,False,6768,6768,1.0,0,205,129
58,ovl_En_Peehat,False,14080,14032,1.003,48,2649,937
59,ovl_En_Holl,False,4048,4256,0.951,-208,3447,970
60,ovl_En_Scene_Change,False,304,304,1.0,0,12,7
61,ovl_En_Zf,False,27376,27360,1.001,16,8523,2803
62,ovl_En_Hata,False,1424,1424,1.0,0,45,30
63,ovl_Boss_Dodongo,False,39648,39648,1.0,0,792,530
64,ovl_Boss_Goma,False,24448,24448,1.0,0,751,537
65,ovl_En_Zl1,False,15872,15872,1.0,0,297,190
66,ovl_En_Viewer,False,11952,11952,1.0,0,315,190
67,ovl_En_Goma,False,11408,11408,1.0,0,374,254
68,ovl_Bg_Pushbox,False,768,768,1.0,0,25,16
69,ovl_En_Bubble,False,5152,5152,1.0,0,162,106
70,ovl_Door_Shutter,False,8832,8832,1.0,0,231,152
71,ovl_En_Dodojr,False,7840,7840,1.0,0,243,149
72,ovl_En_Bdfire,False,2960,2960,1.0,0,74,46
73,ovl_En_Boom,False,2240,2240,1.0,0,61,40
74,ovl_En_Torch2,False,10080,9840,1.024,240,8295,2420
75,ovl_En_Bili,False,8912,8912,1.0,0,370,202
76,ovl_En_Tp,False,7760,7760,1.0,0,223,141
77,ovl_En_St,False,11376,11376,1.0,0,328,197
78,ovl_En_Bw,False,13152,13152,1.0,0,428,265
79,ovl_En_Eiyer,False,7264,7264,1.0,0,240,156
80,ovl_En_River_Sound,False,2448,2448,1.0,0,49,30
81,ovl_En_Horse_Normal,False,9760,9760,1.0,0,413,238
82,ovl_En_Ossan,False,26080,26080,1.0,0,1013,589
83,ovl_Bg_Treemouth,False,5712,5712,1.0,0,152,81
84,ovl_Bg_Dodoago,False,3392,3392,1.0,0,149,92
85,ovl_Bg_Hidan_Dalm,False,2128,2128,1.0,0,84,52
86,ovl_Bg_Hidan_Hrock,False,2096,2096,1.0,0,56,40
87,ovl_En_Horse_Ganon,False,3456,3456,1.0,0,112,72
88,ovl_Bg_Hidan_Rock,False,4336,4336,1.0,0,153,98
89,ovl_Bg_Hidan_Rsekizou,False,3040,3040,1.0,0,58,39
90,ovl_Bg_Hidan_Sekizou,False,5200,5200,1.0,0,76,53
91,ovl_Bg_Hidan_Sima,False,3872,3872,1.0,0,96,63
92,ovl_Bg_Hidan_Syoku,False,1120,1120,1.0,0,43,27
93,ovl_En_Xc,False,26464,26464,1.0,0,1321,746
94,ovl_Bg_Hidan_Curtain,False,2720,2720,1.0,0,63,38
95,ovl_Bg_Spot00_Hanebasi,False,4368,4368,1.0,0,131,82
96,ovl_En_Mb,False,16704,16704,1.0,0,482,326
97,ovl_En_Bombf,False,5232,5232,1.0,0,110,69
98,ovl_Bg_Hidan_Firewall,False,1888,1888,1.0,0,51,32
99,ovl_Bg_Dy_Yoseizo,False,11600,11600,1.0,0,334,222
100,ovl_En_Zl2,False,18224,18224,1.0,0,854,507
101,ovl_Bg_Hidan_Fslift,False,1232,1232,1.0,0,43,30
102,ovl_En_OE2,False,224,224,1.0,0,11,6
103,ovl_Bg_Ydan_Hasi,False,1968,1968,1.0,0,60,38
104,ovl_Bg_Ydan_Maruta,False,1760,1760,1.0,0,51,36
105,ovl_Boss_Ganondrof,False,19824,19824,1.0,0,535,369
106,ovl_En_Am,False,9216,9216,1.0,0,244,163
107,ovl_En_Dekubaba,False,15008,15008,1.0,0,449,321
108,ovl_En_M_Fire1,False,416,416,1.0,0,15,11
109,ovl_En_M_Thunder,False,5616,5616,1.0,0,184,109
110,ovl_Bg_Ddan_Jd,False,1616,1616,1.0,0,37,27
111,ovl_Bg_Breakwall,False,3696,3696,1.0,0,119,74
112,ovl_En_Jj,False,5584,5584,1.0,0,89,63
113,ovl_En_Horse_Zelda,False,2800,2800,1.0,0,93,60
114,ovl_Bg_Ddan_Kd,False,2288,2288,1.0,0,102,64
115,ovl_Door_Warp1,False,17056,17056,1.0,0,569,361
116,ovl_Obj_Syokudai,False,3120,3120,1.0,0,80,53
117,ovl_Item_B_Heart,False,1008,1008,1.0,0,23,15
118,ovl_En_Dekunuts,False,6144,6144,1.0,0,173,121
119,ovl_Bg_Menkuri_Kaiten,False,400,400,1.0,0,17,12
120,ovl_Bg_Menkuri_Eye,False,1168,1168,1.0,0,35,22
121,ovl_En_Vali,False,9888,9888,1.0,0,359,220
122,ovl_Bg_Mizu_Movebg,False,4496,4496,1.0,0,152,82
123,ovl_Bg_Mizu_Water,False,3280,3280,1.0,0,101,56
124,ovl_Arms_Hook,False,3424,3424,1.0,0,131,80
125,ovl_En_fHG,False,10544,10544,1.0,0,290,208
126,ovl_Bg_Mori_Hineri,False,3280,3280,1.0,0,122,81
127,ovl_En_Bb,False,15568,15568,1.0,0,442,279
128,ovl_Bg_Toki_Hikari,False,3488,3488,1.0,0,64,39
129,ovl_En_Yukabyun,False,1552,1552,1.0,0,45,28
130,ovl_Bg_Toki_Swd,False,5712,5712,1.0,0,56,35
131,ovl_En_Fhg_Fire,False,9760,9760,1.0,0,234,154
132,ovl_Bg_Mjin,False,992,992,1.0,0,33,22
133,ovl_Bg_Hidan_Kousi,False,1408,1408,1.0,0,59,38
134,ovl_Door_Toki,False,352,352,1.0,0,17,12
135,ovl_Bg_Hidan_Hamstep,False,3728,3728,1.0,0,114,71
136,ovl_En_Bird,False,1216,1216,1.0,0,45,29
137,ovl_En_Wood02,False,4560,4560,1.0,0,143,86
138,ovl_En_Lightbox,False,1152,1152,1.0,0,36,21
139,ovl_En_Pu_box,False,832,832,1.0,0,23,12
140,ovl_En_Trap,False,4768,4768,1.0,0,68,54
141,ovl_En_Arow_Trap,False,336,336,1.0,0,7,4
142,ovl_En_Vase,False,256,256,1.0,0,8,5
143,ovl_En_Ta,False,14784,14784,1.0,0,659,382
144,ovl_En_Tk,False,7728,7728,1.0,0,237,141
145,ovl_Bg_Mori_Bigst,False,2352,2352,1.0,0,87,53
146,ovl_Bg_Mori_Elevator,False,2800,2800,1.0,0,116,71
147,ovl_Bg_Mori_Kaitenkabe,False,1632,1632,1.0,0,52,34
148,ovl_Bg_Mori_Rakkatenjo,False,2416,2416,1.0,0,93,57
149,ovl_En_Vm,False,6320,6320,1.0,0,206,134
150,ovl_Demo_Effect,False,23296,23296,1.0,0,611,362
151,ovl_Demo_Kankyo,False,15536,15504,1.002,32,10718,3356
152,ovl_Bg_Hidan_Fwbig,False,3296,3296,1.0,0,77,47
153,ovl_En_Floormas,False,13280,13280,1.0,0,442,305
154,ovl_En_Heishi1,False,5392,5392,1.0,0,164,110
155,ovl_En_Rd,False,10416,10416,1.0,0,365,232
156,ovl_En_Po_Sisters,False,19696,19696,1.0,0,491,312
157,ovl_Bg_Heavy_Block,False,6384,6384,1.0,0,223,154
158,ovl_Bg_Po_Event,False,7728,7728,1.0,0,220,131
159,ovl_Obj_Mure,False,4112,4112,1.0,0,133,69
160,ovl_En_Sw,False,14192,14224,0.998,-32,9054,2727
161,ovl_Boss_Fd,False,29488,29488,1.0,0,801,529
162,ovl_Object_Kankyo,False,12832,12832,1.0,0,395,221
163,ovl_En_Du,False,6816,6816,1.0,0,273,154
164,ovl_En_Fd,False,11456,11408,1.004,48,9531,2796
165,ovl_En_Horse_Link_Child,False,7680,7680,1.0,0,301,181
166,ovl_Door_Ana,False,1648,1648,1.0,0,58,35
167,ovl_Bg_Spot02_Objects,False,4944,4944,1.0,0,113,69
168,ovl_Bg_Haka,False,1728,1728,1.0,0,55,35
169,ovl_Magic_Wind,False,7424,7424,1.0,0,95,54
170,ovl_Magic_Fire,False,8912,8912,1.0,0,67,39
171,ovl_En_Ru1,False,30368,30288,1.003,80,19934,5951
172,ovl_Boss_Fd2,False,15664,15664,1.0,0,376,261
173,ovl_En_Fd_Fire,False,3344,3344,1.0,0,98,62
174,ovl_En_Dh,False,6864,6832,1.005,32,1604,539
175,ovl_En_Dha,False,4048,3952,1.024,96,1827,562
176,ovl_En_Rl,False,3808,3808,1.0,0,143,81
177,ovl_En_Encount1,False,2912,2912,1.0,0,42,31
178,ovl_Demo_Du,False,14304,14304,1.0,0,484,268
179,ovl_Demo_Im,False,16240,16240,1.0,0,571,316
180,ovl_Demo_Tre_Lgt,False,1808,1808,1.0,0,48,28
181,ovl_En_Fw,False,6064,6064,1.0,0,146,97
182,ovl_Bg_Vb_Sima,False,1808,1808,1.0,0,60,41
183,ovl_En_Vb_Ball,False,4512,4512,1.0,0,143,99
184,ovl_Bg_Haka_Megane,False,1024,1024,1.0,0,35,24
185,ovl_Bg_Haka_MeganeBG,False,1728,1728,1.0,0,58,37
186,ovl_Bg_Haka_Ship,False,2624,2624,1.0,0,86,52
187,ovl_Bg_Haka_Sgami,False,3104,3104,1.0,0,86,53
188,ovl_En_Heishi2,False,8704,8704,1.0,0,309,203
189,ovl_En_Encount2,False,4656,4656,1.0,0,95,62
190,ovl_En_Fire_Rock,False,4368,4368,1.0,0,134,93
191,ovl_En_Brob,False,4336,4336,1.0,0,122,81
192,ovl_Mir_Ray,False,6336,6336,1.0,0,105,68
193,ovl_Bg_Spot09_Obj,False,1296,1296,1.0,0,48,28
194,ovl_Bg_Spot18_Obj,False,2256,2256,1.0,0,93,53
195,ovl_Boss_Va,False,59376,59376,1.0,0,2407,1456
196,ovl_Bg_Haka_Tubo,False,2592,2592,1.0,0,82,56
197,ovl_Bg_Haka_Trap,False,5584,5584,1.0,0,179,108
198,ovl_Bg_Haka_Huta,False,2720,2720,1.0,0,90,61
199,ovl_Bg_Haka_Zou,False,4592,4592,1.0,0,116,73
200,ovl_Bg_Spot17_Funen,False,592,592,1.0,0,21,13
201,ovl_En_Syateki_Itm,False,3488,3488,1.0,0,132,78
202,ovl_En_Syateki_Man,False,3520,3520,1.0,0,132,80
203,ovl_En_Tana,False,672,672,1.0,0,28,15
204,ovl_En_Nb,False,17872,17872,1.0,0,669,373
205,ovl_Boss_Mo,False,46496,46496,1.0,0,1324,857
206,ovl_En_Sb,False,5184,5184,1.0,0,169,108
207,ovl_En_Bigokuta,False,11024,11024,1.0,0,327,200
208,ovl_En_Karebaba,False,6384,6384,1.0,0,223,142
209,ovl_Bg_Bdan_Objects,False,4816,4816,1.0,0,164,106
210,ovl_Demo_Sa,False,11040,11040,1.0,0,338,182
211,ovl_Demo_Go,False,3424,3424,1.0,0,148,77
212,ovl_En_In,False,11616,11616,1.0,0,453,263
213,ovl_En_Tr,False,6400,6400,1.0,0,202,122
214,ovl_Bg_Spot16_Bombstone,False,5440,5440,1.0,0,156,91
215,ovl_Bg_Hidan_Kowarerukabe,False,3792,3792,1.0,0,107,65
216,ovl_Bg_Bombwall,False,2240,2240,1.0,0,62,40
217,ovl_En_Ru2,False,11648,11648,1.0,0,338,183
218,ovl_Obj_Dekujr,False,1600,1600,1.0,0,38,23
219,ovl_Bg_Mizu_Uzu,False,464,464,1.0,0,19,13
220,ovl_Bg_Spot06_Objects,False,5136,5136,1.0,0,194,118
221,ovl_Bg_Ice_Objects,False,3904,3904,1.0,0,161,94
222,ovl_Bg_Haka_Water,False,2016,2016,1.0,0,39,22
223,ovl_En_Ma2,False,4192,4192,1.0,0,152,91
224,ovl_En_Bom_Chu,False,5792,5792,1.0,0,142,87
225,ovl_En_Horse_Game_Check,False,4304,4304,1.0,0,164,89
226,ovl_Boss_Tw,False,77952,77952,1.0,0,2614,1700
227,ovl_En_Rr,False,9504,9504,1.0,0,287,179
228,ovl_En_Ba,False,7888,7888,1.0,0,231,167
229,ovl_En_Bx,False,2800,2800,1.0,0,79,50
230,ovl_En_Anubice,False,4784,4784,1.0,0,131,90
231,ovl_En_Anubice_Fire,False,3520,3520,1.0,0,91,56
232,ovl_Bg_Mori_Hashigo,False,2240,2240,1.0,0,64,40
233,ovl_Bg_Mori_Hashira4,False,1408,1408,1.0,0,52,31
234,ovl_Bg_Mori_Idomizu,False,1600,1600,1.0,0,49,29
235,ovl_Bg_Spot16_Doughnut,False,1456,1456,1.0,0,30,17
236,ovl_Bg_Bdan_Switch,False,5168,5168,1.0,0,266,148
237,ovl_En_Ma1,False,4832,4832,1.0,0,247,137
238,ovl_Boss_Ganon,False,139888,139888,1.0,0,2234,1426
239,ovl_Boss_Sst,False,50464,50464,1.0,0,1852,1127
240,ovl_En_Ny,False,6448,6448,1.0,0,161,106
241,ovl_En_Fr,False,10896,10896,1.0,0,443,252
242,ovl_Item_Shield,False,2576,2576,1.0,0,73,44
243,ovl_Bg_Ice_Shelter,False,4656,4656,1.0,0,169,99
244,ovl_En_Ice_Hono,False,4592,4592,1.0,0,150,95
245,ovl_Item_Ocarina,False,2000,2000,1.0,0,60,31
246,ovl_Magic_Dark,False,6224,6224,1.0,0,121,72
247,ovl_Demo_6K,False,11536,11536,1.0,0,359,212
248,ovl_En_Anubice_Tag,False,720,720,1.0,0,19,11
249,ovl_Bg_Haka_Gate,False,4224,4224,1.0,0,156,96
250,ovl_Bg_Spot15_Saku,False,832,832,1.0,0,33,19
251,ovl_Bg_Jya_Goroiwa,False,1920,1920,1.0,0,70,41
252,ovl_Bg_Jya_Zurerukabe,False,1712,1712,1.0,0,71,39
253,ovl_Bg_Jya_Cobra,False,7456,7456,1.0,0,171,100
254,ovl_Bg_Jya_Kanaami,False,944,944,1.0,0,37,24
255,ovl_Fishing,False,80336,80304,1.0,32,65085,19586
256,ovl_Obj_Oshihiki,False,6832,6832,1.0,0,211,116
257,ovl_Bg_Gate_Shutter,False,1152,1152,1.0,0,37,22
258,ovl_Eff_Dust,False,5088,5088,1.0,0,159,97
259,ovl_Bg_Spot01_Fusya,False,672,672,1.0,0,27,15
260,ovl_Bg_Spot01_Idohashira,False,3072,3072,1.0,0,106,59
261,ovl_Bg_Spot01_Idomizu,False,784,784,1.0,0,34,19
262,ovl_Bg_Po_Syokudai,False,2384,2384,1.0,0,55,36
263,ovl_Bg_Ganon_Otyuka,False,9792,9792,1.0,0,146,92
264,ovl_Bg_Spot15_Rrbox,False,3552,3552,1.0,0,110,62
265,ovl_Bg_Umajump,False,400,400,1.0,0,19,13
266,ovl_En_Insect,False,9504,9408,1.01,96,2338,830
267,ovl_En_Butte,False,5584,5584,1.0,0,223,132
268,ovl_En_Fish,False,8464,8464,1.0,0,320,199
269,ovl_Bg_Spot08_Iceblock,False,4160,4160,1.0,0,245,137
270,ovl_Item_Etcetera,False,2256,2256,1.0,0,108,58
271,ovl_Arrow_Fire,False,7872,7872,1.0,0,82,46
272,ovl_Arrow_Ice,False,7904,7904,1.0,0,82,46
273,ovl_Arrow_Light,False,7920,7920,1.0,0,80,46
274,ovl_Obj_Kibako,False,3328,3328,1.0,0,104,64
275,ovl_Obj_Tsubo,False,4080,4080,1.0,0,150,91
276,ovl_En_Wonder_Item,False,3152,3152,1.0,0,77,43
277,ovl_En_Ik,False,17968,17968,1.0,0,661,392
278,ovl_Demo_Ik,False,5392,5392,1.0,0,195,106
279,ovl_En_Skj,False,14640,14432,1.014,208,10288,3022
280,ovl_En_Skjneedle,False,784,784,1.0,0,28,16
281,ovl_En_G_Switch,False,6192,6192,1.0,0,173,108
282,ovl_Demo_Ext,False,2368,2368,1.0,0,80,43
283,ovl_Demo_Shd,False,9232,9232,1.0,0,49,26
284,ovl_En_Dns,False,5008,5008,1.0,0,270,149
285,ovl_Elf_Msg,False,1520,1520,1.0,0,35,18
286,ovl_En_Honotrap,False,5456,5456,1.0,0,163,102
287,ovl_En_Tubo_Trap,False,3232,3232,1.0,0,98,65
288,ovl_Obj_Ice_Poly,False,2480,2480,1.0,0,69,46
289,ovl_Bg_Spot03_Taki,False,2288,2288,1.0,0,39,25
290,ovl_Bg_Spot07_Taki,False,1472,1472,1.0,0,35,24
291,ovl_En_Fz,False,8208,8208,1.0,0,208,132
292,ovl_En_Po_Relay,False,5904,5904,1.0,0,166,105
293,ovl_Bg_Relay_Objects,False,1968,1968,1.0,0,83,50
294,ovl_En_Diving_Game,False,6576,6560,1.002,16,4236,1261
295,ovl_En_Kusa,False,5344,5344,1.0,0,212,115
296,ovl_Obj_Bean,False,10128,10128,1.0,0,415,254
297,ovl_Obj_Bombiwa,False,1392,1392,1.0,0,48,31
298,ovl_Obj_Switch,False,7616,7616,1.0,0,292,167
299,ovl_Obj_Elevator,False,960,960,1.0,0,39,23
300,ovl_Obj_Lift,False,2592,2592,1.0,0,94,58
301,ovl_Obj_Hsblock,False,1488,1488,1.0,0,57,33
302,ovl_En_Okarina_Tag,False,5344,5344,1.0,0,110,58
303,ovl_En_Yabusame_Mark,False,1744,1744,1.0,0,40,27
304,ovl_En_Goroiwa,False,9152,9152,1.0,0,272,159
305,ovl_En_Ex_Ruppy,False,4288,4288,1.0,0,118,67
306,ovl_En_Toryo,False,3216,3216,1.0,0,144,82
307,ovl_En_Daiku,False,5952,5952,1.0,0,178,109
308,ovl_En_Nwc,False,2624,2624,1.0,0,63,37
309,ovl_En_Blkobj,False,1376,1376,1.0,0,50,30
310,ovl_Item_Inbox,False,352,352,1.0,0,11,6
311,ovl_En_Ge1,False,8240,8240,1.0,0,328,190
312,ovl_Obj_Blockstop,False,416,416,1.0,0,10,7
313,ovl_En_Sda,False,5696,5696,1.0,0,95,52
314,ovl_En_Clear_Tag,False,35696,35696,1.0,0,332,221
315,ovl_En_Niw_Lady,False,6368,6368,1.0,0,258,154
316,ovl_En_Gm,False,3376,3376,1.0,0,128,77
317,ovl_En_Ms,False,1776,1776,1.0,0,78,45
318,ovl_En_Hs,False,2976,2976,1.0,0,127,76
319,ovl_Bg_Ingate,False,912,912,1.0,0,32,19
320,ovl_En_Kanban,False,12624,12624,1.0,0,243,163
321,ovl_En_Heishi3,False,2512,2512,1.0,0,70,47
322,ovl_En_Syateki_Niw,False,8336,8336,1.0,0,233,147
323,ovl_En_Attack_Niw,False,4704,4704,1.0,0,152,105
324,ovl_Bg_Spot01_Idosoko,False,528,528,1.0,0,25,16
325,ovl_En_Sa,False,8816,8816,1.0,0,331,190
326,ovl_En_Wonder_Talk,False,1680,1680,1.0,0,52,29
327,ovl_Bg_Gjyo_Bridge,False,1280,1280,1.0,0,49,30
328,ovl_En_Ds,False,3104,3104,1.0,0,113,68
329,ovl_En_Mk,False,3728,3728,1.0,0,119,76
330,ovl_En_Bom_Bowl_Man,False,5440,5440,1.0,0,181,114
331,ovl_En_Bom_Bowl_Pit,False,2416,2400,1.007,16,1865,566
332,ovl_En_Owl,False,15264,15264,1.0,0,613,349
333,ovl_En_Ishi,False,37200,37200,1.0,0,208,123
334,ovl_Obj_Hana,False,784,784,1.0,0,34,21
335,ovl_Obj_Lightswitch,False,5168,5168,1.0,0,156,91
336,ovl_Obj_Mure2,False,2592,2592,1.0,0,81,47
337,ovl_En_Go,False,17984,17984,1.0,0,1336,701
338,ovl_En_Fu,False,3392,3392,1.0,0,113,70
339,ovl_En_Changer,False,2528,2528,1.0,0,59,35
340,ovl_Bg_Jya_Megami,False,4576,4576,1.0,0,141,84
341,ovl_Bg_Jya_Lift,False,1360,1360,1.0,0,50,31
342,ovl_Bg_Jya_Bigmirror,False,2112,2112,1.0,0,64,36
343,ovl_Bg_Jya_Bombchuiwa,False,2864,2864,1.0,0,94,55
344,ovl_Bg_Jya_Amishutter,False,912,912,1.0,0,38,23
345,ovl_Bg_Jya_Bombiwa,False,1472,1472,1.0,0,51,32
346,ovl_Bg_Spot18_Basket,False,4080,4080,1.0,0,151,104
347,ovl_En_Ganon_Organ,False,28672,28672,1.0,0,150,76
348,ovl_En_Siofuki,False,3504,3504,1.0,0,103,60
349,ovl_En_Stream,False,1424,1424,1.0,0,44,24
350,ovl_En_Mm,False,5664,5664,1.0,0,216,123
351,ovl_En_Ko,False,16704,16704,1.0,0,863,465
352,ovl_En_Kz,False,5392,5392,1.0,0,213,123
353,ovl_En_Weather_Tag,False,3824,3824,1.0,0,181,96
354,ovl_Bg_Sst_Floor,False,1376,1376,1.0,0,44,31
355,ovl_En_Ani,False,3440,3376,1.019,64,2638,764
356,ovl_En_Ex_Item,False,4464,4480,0.996,-16,1505,554
357,ovl_Bg_Jya_Ironobj,False,3504,3504,1.0,0,130,76
358,ovl_En_Js,False,2512,2512,1.0,0,93,60
359,ovl_En_Jsjutan,False,19904,19904,1.0,0,133,74
360,ovl_En_Cs,False,4656,4656,1.0,0,166,100
361,ovl_En_Md,False,9840,9840,1.0,0,443,257
362,ovl_En_Hy,False,14656,14672,0.999,-16,8418,2839
363,ovl_En_Ganon_Mant,False,16928,16928,1.0,0,129,78
364,ovl_En_Okarina_Effect,False,944,944,1.0,0,33,21
365,ovl_En_Mag,False,12048,12048,1.0,0,171,90
366,ovl_Door_Gerudo,False,1520,1520,1.0,0,44,26
367,ovl_Elf_Msg2,False,1136,1136,1.0,0,37,19
