Index,File,Are equals,Size in pal_1.0,Size in ntsc_1.0_rc,Size proportion,Size difference,Bytes different,Words different
0,makerom,False,4192,4192,1.0,0,16,7
1,boot,False,26864,25552,1.051,1312,21553,6208
2,dmadata,False,24432,24416,1.001,16,14265,6000
3,Audiobank,False,179648,117344,1.531,62304,48124,13847
4,Audioseq,False,326272,325248,1.003,1024,193773,50176
5,Audiotable,False,4526992,4590288,0.986,-63296,991374,250020
6,kanji,,,508672,,,
7,link_animetion,True,2513968,2513968,1.0,0,0,0
8,icon_item_static,False,564384,559264,1.009,5120,133130,35986
9,icon_item_24_static,True,46080,46080,1.0,0,0,0
10,icon_item_field_static,True,47408,47408,1.0,0,0,0
11,icon_item_dungeon_static,True,7552,7552,1.0,0,0,0
12,icon_item_gameover_static,False,15488,13056,1.186,2432,3186,891
13,icon_item_jpn_static,,,56448,,,
14,icon_item_nes_static,True,56448,56448,1.0,0,0,0
15,icon_item_ger_static,,60288,,,,
16,icon_item_fra_static,,62592,,,,
17,item_name_static,False,377856,251904,1.5,125952,111119,34590
18,map_name_static,False,205824,137216,1.5,68608,72653,20605
19,do_action_static,False,33408,22272,1.5,11136,6356,2366
20,message_static,True,16768,16768,1.0,0,0,0
21,jpn_message_data_static,,,238432,,,
22,message_texture_static,True,4608,4608,1.0,0,0,0
23,nes_font_static,False,17792,17792,1.0,0,93,33
24,nes_message_data_static,False,229664,229648,1.0,16,217225,57225
25,ger_message_data_static,,244128,,,,
26,fra_message_data_static,,226064,,,,
27,staff_message_data_static,False,3920,3968,0.988,-48,1487,401
28,map_grand_static,True,58192,58192,1.0,0,0,0
29,map_i_static,True,975120,975120,1.0,0,0,0
30,map_48x85_static,True,138720,138720,1.0,0,0,0
31,code,False,1053936,1063712,0.991,-9776,858991,245201
32,n64dd,False,76944,76832,1.001,112,50529,14899
33,ovl_title,False,2496,2496,1.0,0,69,37
34,ovl_select,False,11616,11616,1.0,0,193,99
35,ovl_opening,False,352,352,1.0,0,16,8
36,ovl_file_choose,False,67296,65312,1.03,1984,48517,13916
37,ovl_kaleido_scope,False,117760,117120,1.005,640,56748,16938
38,ovl_player_actor,False,157360,156544,1.005,816,135441,38312
39,ovl_map_mark_data,False,27488,27488,1.0,0,20,10
40,ovl_En_Test,False,22704,22704,1.0,0,1130,565
41,ovl_En_GirlA,False,10528,10528,1.0,0,900,464
42,ovl_En_Part,False,5648,5648,1.0,0,250,125
43,ovl_En_Light,False,3568,3568,1.0,0,113,62
44,ovl_En_Door,False,3648,3632,1.004,16,682,257
45,ovl_En_Box,False,6960,6704,1.038,256,5792,1629
46,ovl_En_Poh,False,16784,16752,1.002,32,7217,2205
47,ovl_En_Okuta,False,9696,9696,1.0,0,441,220
48,ovl_En_Bom,False,3792,3792,1.0,0,160,80
49,ovl_En_Wallmas,False,6672,6672,1.0,0,356,178
50,ovl_En_Dodongo,False,11680,11680,1.0,0,588,294
51,ovl_En_Firefly,False,8560,8560,1.0,0,423,225
52,ovl_En_Horse,False,49760,49696,1.001,64,41221,11659
53,ovl_En_Arrow,False,5872,5872,1.0,0,258,129
54,ovl_En_Elf,False,18880,18880,1.0,0,740,373
55,ovl_En_Niw,False,13104,13104,1.0,0,2166,758
56,ovl_En_Tite,False,11680,11680,1.0,0,431,214
57,ovl_En_Reeba,False,6768,6768,1.0,0,306,153
58,ovl_En_Peehat,False,14080,14032,1.003,48,2848,971
59,ovl_En_Holl,False,4048,4256,0.951,-208,3446,970
60,ovl_En_Scene_Change,False,304,304,1.0,0,14,7
61,ovl_En_Zf,False,27376,27360,1.001,16,8763,2853
62,ovl_En_Hata,False,1424,1424,1.0,0,62,31
63,ovl_Boss_Dodongo,False,39648,39648,1.0,0,1155,580
64,ovl_Boss_Goma,False,24448,24448,1.0,0,1177,590
65,ovl_En_Zl1,False,15872,15872,1.0,0,426,210
66,ovl_En_Viewer,False,11952,11952,1.0,0,420,211
67,ovl_En_Goma,False,11408,11408,1.0,0,598,299
68,ovl_Bg_Pushbox,False,768,768,1.0,0,40,20
69,ovl_En_Bubble,False,5152,5152,1.0,0,226,125
70,ovl_Door_Shutter,False,8832,8832,1.0,0,429,211
71,ovl_En_Dodojr,False,7840,7840,1.0,0,356,178
72,ovl_En_Bdfire,False,2960,2960,1.0,0,121,65
73,ovl_En_Boom,False,2240,2240,1.0,0,104,52
74,ovl_En_Torch2,False,10080,9840,1.024,240,8357,2422
75,ovl_En_Bili,False,8912,8912,1.0,0,459,223
76,ovl_En_Tp,False,7760,7760,1.0,0,4296,1272
77,ovl_En_St,False,11376,11376,1.0,0,460,230
78,ovl_En_Bw,False,13168,13152,1.001,16,10956,3211
79,ovl_En_Eiyer,False,7264,7264,1.0,0,362,182
80,ovl_En_River_Sound,False,2448,2448,1.0,0,75,38
81,ovl_En_Horse_Normal,False,9760,9760,1.0,0,500,250
82,ovl_En_Ossan,False,26080,26080,1.0,0,1246,619
83,ovl_Bg_Treemouth,False,5728,5712,1.003,16,2144,843
84,ovl_Bg_Dodoago,False,3392,3392,1.0,0,216,118
85,ovl_Bg_Hidan_Dalm,False,2128,2128,1.0,0,140,77
86,ovl_Bg_Hidan_Hrock,False,2096,2096,1.0,0,87,45
87,ovl_En_Horse_Ganon,False,3456,3456,1.0,0,156,78
88,ovl_Bg_Hidan_Rock,False,4336,4336,1.0,0,214,107
89,ovl_Bg_Hidan_Rsekizou,False,3040,3040,1.0,0,80,40
90,ovl_Bg_Hidan_Sekizou,False,5200,5200,1.0,0,112,56
91,ovl_Bg_Hidan_Sima,False,3872,3872,1.0,0,130,65
92,ovl_Bg_Hidan_Syoku,False,1120,1120,1.0,0,62,31
93,ovl_En_Xc,False,26464,26464,1.0,0,1724,858
94,ovl_Bg_Hidan_Curtain,False,2720,2720,1.0,0,110,55
95,ovl_Bg_Spot00_Hanebasi,False,4368,4368,1.0,0,189,96
96,ovl_En_Mb,False,16912,16704,1.012,208,11213,3234
97,ovl_En_Bombf,False,5232,5232,1.0,0,200,100
98,ovl_Bg_Hidan_Firewall,False,1888,1888,1.0,0,74,37
99,ovl_Bg_Dy_Yoseizo,False,11776,11600,1.015,176,10339,2851
100,ovl_En_Zl2,False,18224,18224,1.0,0,1031,516
101,ovl_Bg_Hidan_Fslift,False,1232,1232,1.0,0,70,35
102,ovl_En_OE2,False,224,224,1.0,0,12,6
103,ovl_Bg_Ydan_Hasi,False,1968,1968,1.0,0,98,49
104,ovl_Bg_Ydan_Maruta,False,1760,1760,1.0,0,84,42
105,ovl_Boss_Ganondrof,False,19824,19824,1.0,0,818,410
106,ovl_En_Am,False,9216,9216,1.0,0,380,190
107,ovl_En_Dekubaba,False,15008,15008,1.0,0,728,364
108,ovl_En_M_Fire1,False,416,416,1.0,0,24,12
109,ovl_En_M_Thunder,False,5616,5616,1.0,0,255,124
110,ovl_Bg_Ddan_Jd,False,1616,1616,1.0,0,64,32
111,ovl_Bg_Breakwall,False,3696,3696,1.0,0,171,87
112,ovl_En_Jj,False,5584,5584,1.0,0,140,70
113,ovl_En_Horse_Zelda,False,2800,2800,1.0,0,132,66
114,ovl_Bg_Ddan_Kd,False,2288,2288,1.0,0,132,66
115,ovl_Door_Warp1,False,17056,17056,1.0,0,716,382
116,ovl_Obj_Syokudai,False,3120,3120,1.0,0,124,62
117,ovl_Item_B_Heart,False,1008,1008,1.0,0,46,23
118,ovl_En_Dekunuts,False,6144,6144,1.0,0,294,147
119,ovl_Bg_Menkuri_Kaiten,False,400,400,1.0,0,28,14
120,ovl_Bg_Menkuri_Eye,False,1168,1168,1.0,0,56,28
121,ovl_En_Vali,False,9888,9888,1.0,0,476,238
122,ovl_Bg_Mizu_Movebg,False,4496,4496,1.0,0,188,94
123,ovl_Bg_Mizu_Water,False,3280,3280,1.0,0,167,78
124,ovl_Arms_Hook,False,3424,3424,1.0,0,174,86
125,ovl_En_fHG,False,10544,10544,1.0,0,487,254
126,ovl_Bg_Mori_Hineri,False,3328,3280,1.015,48,1398,438
127,ovl_En_Bb,False,15568,15568,1.0,0,695,370
128,ovl_Bg_Toki_Hikari,False,3488,3488,1.0,0,86,45
129,ovl_En_Yukabyun,False,1552,1552,1.0,0,76,38
130,ovl_Bg_Toki_Swd,False,5712,5712,1.0,0,84,42
131,ovl_En_Fhg_Fire,False,9760,9760,1.0,0,416,210
132,ovl_Bg_Mjin,False,992,992,1.0,0,48,24
133,ovl_Bg_Hidan_Kousi,False,1408,1408,1.0,0,92,46
134,ovl_Door_Toki,False,352,352,1.0,0,24,12
135,ovl_Bg_Hidan_Hamstep,False,3760,3728,1.009,32,718,270
136,ovl_En_Bird,False,1216,1216,1.0,0,64,32
137,ovl_En_Wood02,False,4560,4560,1.0,0,195,97
138,ovl_En_Lightbox,False,1152,1152,1.0,0,68,32
139,ovl_En_Pu_box,False,832,832,1.0,0,44,20
140,ovl_En_Trap,False,4768,4768,1.0,0,145,72
141,ovl_En_Arow_Trap,False,336,336,1.0,0,10,5
142,ovl_En_Vase,False,256,256,1.0,0,16,8
143,ovl_En_Ta,False,14784,14784,1.0,0,874,437
144,ovl_En_Tk,False,7728,7728,1.0,0,326,163
145,ovl_Bg_Mori_Bigst,False,2352,2352,1.0,0,146,79
146,ovl_Bg_Mori_Elevator,False,2800,2800,1.0,0,147,83
147,ovl_Bg_Mori_Kaitenkabe,False,1632,1632,1.0,0,74,37
148,ovl_Bg_Mori_Rakkatenjo,False,2416,2416,1.0,0,118,59
149,ovl_En_Vm,False,6320,6320,1.0,0,317,158
150,ovl_Demo_Effect,False,23296,23296,1.0,0,14359,4382
151,ovl_Demo_Kankyo,False,15536,15504,1.002,32,10624,3347
152,ovl_Bg_Hidan_Fwbig,False,3296,3296,1.0,0,121,61
153,ovl_En_Floormas,False,13280,13280,1.0,0,706,383
154,ovl_En_Heishi1,False,5392,5392,1.0,0,234,117
155,ovl_En_Rd,False,10416,10416,1.0,0,540,271
156,ovl_En_Po_Sisters,False,19696,19696,1.0,0,732,365
157,ovl_Bg_Heavy_Block,False,6384,6384,1.0,0,352,176
158,ovl_Bg_Po_Event,False,7728,7728,1.0,0,318,159
159,ovl_Obj_Mure,False,4112,4112,1.0,0,150,75
160,ovl_En_Sw,False,14192,14224,0.998,-32,9098,2735
161,ovl_Boss_Fd,False,29488,29488,1.0,0,1128,568
162,ovl_Object_Kankyo,False,12832,12832,1.0,0,482,240
163,ovl_En_Du,False,6816,6816,1.0,0,379,199
164,ovl_En_Fd,False,11456,11408,1.004,48,9534,2796
165,ovl_En_Horse_Link_Child,False,7680,7680,1.0,0,388,194
166,ovl_Door_Ana,False,1648,1648,1.0,0,76,38
167,ovl_Bg_Spot02_Objects,False,4944,4944,1.0,0,170,85
168,ovl_Bg_Haka,False,1728,1728,1.0,0,76,38
169,ovl_Magic_Wind,False,7424,7424,1.0,0,118,59
170,ovl_Magic_Fire,False,8912,8912,1.0,0,91,44
171,ovl_En_Ru1,False,30368,30288,1.003,80,20024,5965
172,ovl_Boss_Fd2,False,15664,15664,1.0,0,568,286
173,ovl_En_Fd_Fire,False,3344,3344,1.0,0,140,70
174,ovl_En_Dh,False,6864,6832,1.005,32,1698,559
175,ovl_En_Dha,False,4096,3952,1.036,144,2403,703
176,ovl_En_Rl,False,3808,3808,1.0,0,171,86
177,ovl_En_Encount1,False,2912,2912,1.0,0,66,32
178,ovl_Demo_Du,False,14304,14304,1.0,0,578,305
179,ovl_Demo_Im,False,16240,16240,1.0,0,657,333
180,ovl_Demo_Tre_Lgt,False,1808,1808,1.0,0,64,35
181,ovl_En_Fw,False,6064,6064,1.0,0,242,121
182,ovl_Bg_Vb_Sima,False,1808,1808,1.0,0,88,44
183,ovl_En_Vb_Ball,False,4512,4512,1.0,0,216,108
184,ovl_Bg_Haka_Megane,False,1024,1024,1.0,0,52,26
185,ovl_Bg_Haka_MeganeBG,False,1728,1728,1.0,0,88,44
186,ovl_Bg_Haka_Ship,False,2624,2624,1.0,0,118,59
187,ovl_Bg_Haka_Sgami,False,3104,3104,1.0,0,128,64
188,ovl_En_Heishi2,False,8704,8704,1.0,0,454,227
189,ovl_En_Encount2,False,4656,4656,1.0,0,139,66
190,ovl_En_Fire_Rock,False,4368,4368,1.0,0,225,112
191,ovl_En_Brob,False,4336,4336,1.0,0,176,88
192,ovl_Mir_Ray,False,6336,6336,1.0,0,142,71
193,ovl_Bg_Spot09_Obj,False,1296,1296,1.0,0,64,32
194,ovl_Bg_Spot18_Obj,False,2256,2256,1.0,0,124,62
195,ovl_Boss_Va,False,59376,59376,1.0,0,3162,1635
196,ovl_Bg_Haka_Tubo,False,2592,2592,1.0,0,134,67
197,ovl_Bg_Haka_Trap,False,5584,5584,1.0,0,246,123
198,ovl_Bg_Haka_Huta,False,2720,2720,1.0,0,128,64
199,ovl_Bg_Haka_Zou,False,4592,4592,1.0,0,191,95
200,ovl_Bg_Spot17_Funen,False,592,592,1.0,0,29,13
201,ovl_En_Syateki_Itm,False,3488,3488,1.0,0,172,82
202,ovl_En_Syateki_Man,False,3520,3520,1.0,0,178,91
203,ovl_En_Tana,False,672,672,1.0,0,32,16
204,ovl_En_Nb,False,17872,17872,1.0,0,770,387
205,ovl_Boss_Mo,False,46496,46496,1.0,0,1845,945
206,ovl_En_Sb,False,5184,5184,1.0,0,257,135
207,ovl_En_Bigokuta,False,11024,11024,1.0,0,472,238
208,ovl_En_Karebaba,False,6384,6384,1.0,0,346,173
209,ovl_Bg_Bdan_Objects,False,4816,4816,1.0,0,256,128
210,ovl_Demo_Sa,False,11040,11040,1.0,0,372,187
211,ovl_Demo_Go,False,3424,3424,1.0,0,211,82
212,ovl_En_In,False,11680,11616,1.006,64,2538,871
213,ovl_En_Tr,False,6400,6400,1.0,0,294,147
214,ovl_Bg_Spot16_Bombstone,False,5440,5440,1.0,0,206,103
215,ovl_Bg_Hidan_Kowarerukabe,False,3792,3792,1.0,0,148,74
216,ovl_Bg_Bombwall,False,2240,2240,1.0,0,92,49
217,ovl_En_Ru2,False,11648,11648,1.0,0,394,198
218,ovl_Obj_Dekujr,False,1600,1600,1.0,0,59,30
219,ovl_Bg_Mizu_Uzu,False,464,464,1.0,0,28,14
220,ovl_Bg_Spot06_Objects,False,5136,5136,1.0,0,264,132
221,ovl_Bg_Ice_Objects,False,3904,3904,1.0,0,204,102
222,ovl_Bg_Haka_Water,False,2016,2016,1.0,0,58,29
223,ovl_En_Ma2,False,4192,4192,1.0,0,192,96
224,ovl_En_Bom_Chu,False,5792,5792,1.0,0,219,108
225,ovl_En_Horse_Game_Check,False,4304,4304,1.0,0,184,91
226,ovl_Boss_Tw,False,77952,77952,1.0,0,3620,1821
227,ovl_En_Rr,False,9520,9504,1.002,16,5243,1653
228,ovl_En_Ba,False,7888,7888,1.0,0,366,183
229,ovl_En_Bx,False,2800,2800,1.0,0,114,57
230,ovl_En_Anubice,False,4784,4784,1.0,0,206,103
231,ovl_En_Anubice_Fire,False,3520,3520,1.0,0,152,76
232,ovl_Bg_Mori_Hashigo,False,2240,2240,1.0,0,94,47
233,ovl_Bg_Mori_Hashira4,False,1408,1408,1.0,0,78,39
234,ovl_Bg_Mori_Idomizu,False,1600,1600,1.0,0,68,34
235,ovl_Bg_Spot16_Doughnut,False,1456,1456,1.0,0,51,24
236,ovl_Bg_Bdan_Switch,False,5168,5168,1.0,0,351,164
237,ovl_En_Ma1,False,4832,4832,1.0,0,293,148
238,ovl_Boss_Ganon,False,139872,139888,1.0,-16,104627,29721
239,ovl_Boss_Sst,False,50464,50464,1.0,0,2413,1211
240,ovl_En_Ny,False,6448,6448,1.0,0,264,132
241,ovl_En_Fr,False,10896,10896,1.0,0,607,340
242,ovl_Item_Shield,False,2576,2576,1.0,0,122,61
243,ovl_Bg_Ice_Shelter,False,4656,4656,1.0,0,216,108
244,ovl_En_Ice_Hono,False,4592,4592,1.0,0,222,111
245,ovl_Item_Ocarina,False,2000,2000,1.0,0,99,50
246,ovl_Magic_Dark,False,6224,6224,1.0,0,164,82
247,ovl_Demo_6K,False,11536,11536,1.0,0,506,253
248,ovl_En_Anubice_Tag,False,720,720,1.0,0,30,13
249,ovl_Bg_Haka_Gate,False,4224,4224,1.0,0,223,111
250,ovl_Bg_Spot15_Saku,False,832,832,1.0,0,42,21
251,ovl_Bg_Jya_Goroiwa,False,1920,1920,1.0,0,92,46
252,ovl_Bg_Jya_Zurerukabe,False,1712,1712,1.0,0,84,42
253,ovl_Bg_Jya_Cobra,False,7456,7456,1.0,0,204,102
254,ovl_Bg_Jya_Kanaami,False,944,944,1.0,0,54,27
255,ovl_Fishing,False,80304,80304,1.0,0,61873,18853
256,ovl_Obj_Oshihiki,False,6832,6832,1.0,0,278,129
257,ovl_Bg_Gate_Shutter,False,1152,1152,1.0,0,52,26
258,ovl_Eff_Dust,False,5088,5088,1.0,0,200,100
259,ovl_Bg_Spot01_Fusya,False,672,672,1.0,0,30,15
260,ovl_Bg_Spot01_Idohashira,False,3072,3072,1.0,0,126,63
261,ovl_Bg_Spot01_Idomizu,False,784,784,1.0,0,38,19
262,ovl_Bg_Po_Syokudai,False,2384,2384,1.0,0,94,47
263,ovl_Bg_Ganon_Otyuka,False,9792,9792,1.0,0,188,94
264,ovl_Bg_Spot15_Rrbox,False,3552,3552,1.0,0,136,68
265,ovl_Bg_Umajump,False,400,400,1.0,0,29,15
266,ovl_En_Insect,False,9504,9408,1.01,96,2429,853
267,ovl_En_Butte,False,5584,5584,1.0,0,272,136
268,ovl_En_Fish,False,8464,8464,1.0,0,454,227
269,ovl_Bg_Spot08_Iceblock,False,4160,4160,1.0,0,282,141
270,ovl_Item_Etcetera,False,2256,2256,1.0,0,162,81
271,ovl_Arrow_Fire,False,7872,7872,1.0,0,112,54
272,ovl_Arrow_Ice,False,7904,7904,1.0,0,110,54
273,ovl_Arrow_Light,False,7920,7920,1.0,0,108,54
274,ovl_Obj_Kibako,False,3328,3328,1.0,0,166,83
275,ovl_Obj_Tsubo,False,4080,4080,1.0,0,218,109
276,ovl_En_Wonder_Item,False,3152,3152,1.0,0,126,63
277,ovl_En_Ik,False,17952,17968,0.999,-16,9176,2894
278,ovl_Demo_Ik,False,5392,5392,1.0,0,158,114
279,ovl_En_Skj,False,14640,14432,1.014,208,10310,3028
280,ovl_En_Skjneedle,False,784,784,1.0,0,50,23
281,ovl_En_G_Switch,False,6192,6192,1.0,0,284,141
282,ovl_Demo_Ext,False,2368,2368,1.0,0,89,45
283,ovl_Demo_Shd,False,9232,9232,1.0,0,54,27
284,ovl_En_Dns,False,5008,5008,1.0,0,364,195
285,ovl_Elf_Msg,False,1520,1520,1.0,0,60,30
286,ovl_En_Honotrap,False,5456,5456,1.0,0,267,143
287,ovl_En_Tubo_Trap,False,3232,3232,1.0,0,155,82
288,ovl_Obj_Ice_Poly,False,2480,2480,1.0,0,111,56
289,ovl_Bg_Spot03_Taki,False,2288,2288,1.0,0,54,27
290,ovl_Bg_Spot07_Taki,False,1488,1472,1.011,16,746,271
291,ovl_En_Fz,False,8208,8208,1.0,0,294,147
292,ovl_En_Po_Relay,False,5904,5904,1.0,0,279,140
293,ovl_Bg_Relay_Objects,False,1968,1968,1.0,0,123,62
294,ovl_En_Diving_Game,False,6576,6560,1.002,16,4260,1269
295,ovl_En_Kusa,False,5344,5344,1.0,0,268,138
296,ovl_Obj_Bean,False,10128,10128,1.0,0,486,278
297,ovl_Obj_Bombiwa,False,1392,1392,1.0,0,63,36
298,ovl_Obj_Switch,False,7616,7616,1.0,0,311,185
299,ovl_Obj_Elevator,False,960,960,1.0,0,42,26
300,ovl_Obj_Lift,False,2592,2592,1.0,0,110,65
301,ovl_Obj_Hsblock,False,1488,1488,1.0,0,59,36
302,ovl_En_Okarina_Tag,False,5376,5344,1.006,32,2862,938
303,ovl_En_Yabusame_Mark,False,1744,1744,1.0,0,53,30
304,ovl_En_Goroiwa,False,9152,9152,1.0,0,360,180
305,ovl_En_Ex_Ruppy,False,4288,4288,1.0,0,192,96
306,ovl_En_Toryo,False,3216,3216,1.0,0,186,93
307,ovl_En_Daiku,False,5952,5952,1.0,0,254,129
308,ovl_En_Nwc,False,2624,2624,1.0,0,74,37
309,ovl_En_Blkobj,False,1376,1376,1.0,0,64,32
310,ovl_Item_Inbox,False,352,352,1.0,0,22,11
311,ovl_En_Ge1,False,8240,8240,1.0,0,447,226
312,ovl_Obj_Blockstop,False,416,416,1.0,0,22,11
313,ovl_En_Sda,False,5696,5696,1.0,0,104,52
314,ovl_En_Clear_Tag,False,35696,35696,1.0,0,474,237
315,ovl_En_Niw_Lady,False,6400,6368,1.005,32,3696,1106
316,ovl_En_Gm,False,3376,3376,1.0,0,180,89
317,ovl_En_Ms,False,1776,1776,1.0,0,122,61
318,ovl_En_Hs,False,2976,2976,1.0,0,188,94
319,ovl_Bg_Ingate,False,912,912,1.0,0,42,21
320,ovl_En_Kanban,False,12624,12624,1.0,0,374,187
321,ovl_En_Heishi3,False,2544,2512,1.013,32,1455,434
322,ovl_En_Syateki_Niw,False,8336,8336,1.0,0,378,211
323,ovl_En_Attack_Niw,False,4704,4704,1.0,0,704,272
324,ovl_Bg_Spot01_Idosoko,False,528,528,1.0,0,33,17
325,ovl_En_Sa,False,8816,8816,1.0,0,399,203
326,ovl_En_Wonder_Talk,False,1680,1680,1.0,0,80,40
327,ovl_Bg_Gjyo_Bridge,False,1280,1280,1.0,0,62,32
328,ovl_En_Ds,False,3104,3104,1.0,0,173,87
329,ovl_En_Mk,False,3728,3728,1.0,0,189,95
330,ovl_En_Bom_Bowl_Man,False,5440,5440,1.0,0,268,134
331,ovl_En_Bom_Bowl_Pit,False,2416,2400,1.007,16,1869,566
332,ovl_En_Owl,False,15264,15264,1.0,0,778,384
333,ovl_En_Ishi,False,37200,37200,1.0,0,296,148
334,ovl_Obj_Hana,False,784,784,1.0,0,46,23
335,ovl_Obj_Lightswitch,False,5168,5168,1.0,0,212,107
336,ovl_Obj_Mure2,False,2592,2592,1.0,0,98,49
337,ovl_En_Go,False,17984,17984,1.0,0,1612,752
338,ovl_En_Fu,False,3392,3392,1.0,0,162,81
339,ovl_En_Changer,False,2528,2528,1.0,0,94,47
340,ovl_Bg_Jya_Megami,False,4576,4576,1.0,0,182,91
341,ovl_Bg_Jya_Lift,False,1360,1360,1.0,0,74,37
342,ovl_Bg_Jya_Bigmirror,False,2112,2112,1.0,0,84,42
343,ovl_Bg_Jya_Bombchuiwa,False,2864,2864,1.0,0,116,58
344,ovl_Bg_Jya_Amishutter,False,912,912,1.0,0,54,27
345,ovl_Bg_Jya_Bombiwa,False,1472,1472,1.0,0,78,41
346,ovl_Bg_Spot18_Basket,False,4080,4080,1.0,0,229,126
347,ovl_En_Ganon_Organ,False,28672,28672,1.0,0,154,77
348,ovl_En_Siofuki,False,3504,3504,1.0,0,150,73
349,ovl_En_Stream,False,1424,1424,1.0,0,54,25
350,ovl_En_Mm,False,5664,5664,1.0,0,277,134
351,ovl_En_Ko,False,16704,16704,1.0,0,991,512
352,ovl_En_Kz,False,5536,5392,1.027,144,4422,1252
353,ovl_En_Weather_Tag,False,3824,3824,1.0,0,210,133
354,ovl_Bg_Sst_Floor,False,1376,1376,1.0,0,56,37
355,ovl_En_Ani,False,3440,3376,1.019,64,2650,766
356,ovl_En_Ex_Item,False,4464,4480,0.996,-16,1540,568
357,ovl_Bg_Jya_Ironobj,False,3504,3504,1.0,0,164,82
358,ovl_En_Js,False,2512,2512,1.0,0,144,72
359,ovl_En_Jsjutan,False,19904,19904,1.0,0,157,76
360,ovl_En_Cs,False,4656,4656,1.0,0,224,112
361,ovl_En_Md,False,9840,9840,1.0,0,537,272
362,ovl_En_Hy,False,14656,14672,0.999,-16,8440,2849
363,ovl_En_Ganon_Mant,False,16928,16928,1.0,0,156,78
364,ovl_En_Okarina_Effect,False,960,944,1.017,16,737,219
365,ovl_En_Mag,False,11104,12048,0.922,-944,3177,916
366,ovl_Door_Gerudo,False,1520,1520,1.0,0,64,32
367,ovl_Elf_Msg2,False,1136,1136,1.0,0,64,32
368,ovl_Demo_Gt,False,22016,22016,1.0,0,1024,548
369,ovl_En_Po_Field,False,14816,14784,1.002,32,6277,1909
370,ovl_Efc_Erupc,False,2784,2784,1.0,0,78,39
371,ovl_Bg_Zg,False,1136,1136,1.0,0,64,32
